OBJETIVO ESTRATÉGICO,AÇÃO ESTRATÉGICA,COORDENAÇÃO,MMA,MF,CC,MCT,MAPA,MDIC,MF,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
3.11 Apoio ao desenvolvimento sustentável da cadeia produtiva da siderurgia,,MDIC,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,0812 -Programa Competitividade das Cadeias Produtivas,0812 - COMPETITIVIDADE DAS CADEIAS PRODUTIVAS,2768 - FORTALECIMENTO DAS CADEIAS PRODUTIVAS,"R$ 550,000.00","R$ 539,111.00","R$ 539,111.00",,2768 - FORTALECIMENTO DAS CADEIAS PRODUTIVAS,"R$ 13,150,000.00","R$ 2,109,958.00","R$ 2,109,958.00"
"3.12 Implementar ações para uma política agrícola sustentável para a Amazônia Legal, em conjunto com as Secretarias Estaduais de Agricultura",,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,Orçamento da União – PPA,,,,,,,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,0506 - NACIONAL DE FLORESTAS,6454 - RECUPERAÇÃO DE ECOSSISTEMAS E ÁREAS DEGRADADAS,"R$ 2,250,000.00","R$ 900,593.00","R$ 900,593.00",0506 - NACIONAL DE FLORESTAS,8288 - RECUPERAÇÃO DA COBERTURA VEGETAL DE ÁREAS DEGRADADAS,"R$ 11,352,782.00","R$ 562,610.00","R$ 562,610.00"
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.1 Disseminação de técnicas de recuperação de áreas degradadas,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,0368 - MANEJO E CONSERVAÇÃO DE SOLOS NA AGRICULTURA,2172 - TRANSFERÊNCIA DE TECNOLOGIA PARA O MANEJO E CONSERVAÇÃO DE SOLOS,"R$ 632,421.00","R$ 293,682.00","R$ 293,682.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.2 Implantação de projetos demonstrativos de manejo de solo,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,0368 - MANEJO E CONSERVAÇÃO DE SOLOS NA AGRICULTURA,4805 - FOMENTO A PRÁTICAS DE MANEJO E CONSERVAÇÃO DE SOLOS NA AGRICULTURA,"R$ 413,500.00","R$ 387,433.00","R$ 387,433.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo","3.13.3 Fomento de culturas permanentes oleaginosas (dendê), fibrosas e raízes",,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,0363 - DESENVOLVIMENTO DAS CULTURAS DE OLEAGINOSAS E PLANTAS FIBROSAS,4704 - TRANSFERÊNCIA DE TECNOLOGIA PARA O DESENVOLVIMENTO DAS CULTURAS DE OLEAGINOSAS E PLANTAS FIBROSAS,"R$ 7,337,014.00","R$ 7,178,234.00","R$ 7,106,759.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo","3.13.3 Fomento de culturas permanentes oleaginosas (dendê), fibrosas e raízes",,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,4775 - ORGANIZAÇÃO E CAPACITAÇÃO DE AGENTES ATUANTES NAS CULTURAS DE OLEAGINOSAS E PLANTAS FIBROSAS,"R$ 500,000.00","R$ 499,411.00","R$ 499,411.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo","3.13.3 Fomento de culturas permanentes oleaginosas (dendê), fibrosas e raízes",,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,4776 - FOMENTO AO USO DE MATERIAL GENÉTICO MELHORADO PARA AS CULTURAS DE OLEAGINOSAS E PLANTAS FIBROSAS,"R$ 10,000.00","R$ 10,000.00","R$ 10,000.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo","3.13.3 Fomento de culturas permanentes oleaginosas (dendê), fibrosas e raízes",,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,4841 - PREVENÇÃO E CONTROLE DE PRAGAS EM OLEAGINOSAS E PLANTAS FIBROSAS,"R$ 1,000,000.00","R$ 628,072.00","R$ 627,672.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.4 Produção de mudas de frutíferas,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,,,,,,,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo","3.13.5 Erradicação da febre aftosa, mosca da carambola e controle e prevenção da Sigatoka Negra",,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,0359 - DESENVOLVIMENTO DA BOVIDEOCULTURA,4842 - ERRADICAÇÃO DA FEBRE AFTOSA,"R$ 66,500,000.00","R$ 60,960,212.00","R$ 60,960,212.00",0357 - SEGURANÇA DA SANIDADE NA AGROPECUÁRIA,4842 - ERRADICAÇÃO DA FEBRE AFTOSA,"R$ 84,813,216.00","R$ 49,401,192.00",
